ID;LAT;LON;DEP;X;Y;Z;EX;EY;EZ;YR;MO;DY;HR;MI;SC;MAG;NCCP;NCCS;NCTP;NCTS;RCC;RCT;CID;;;ID_old;Date;MW;CCC
80;0;0;0;51;207;0;23;26;11;2014;6;15;17;34;28;0.35;;;;;;;;;;2.01406E+13;15.06.14;1.07;0.87
81;0;0;0;-22;208;-64;12;26;11;2014;6;17;3;47;16;2.05;;;;;;;;;;2.01406E+13;17.06.14;2.2;0.94
82;0;0;0;-22;283;63;18;23;8;2014;6;17;4;55;42;0.71;;;;;;;;;;2.01406E+13;17.06.14;1.31;0.83
83;0;0;0;82;175;46;9;11;6;2014;6;17;4;58;17;2.02;;;;;;;;;;2.01406E+13;17.06.14;2.18;0.77
84;0;0;0;-27;175;-55;9;14;6;2014;6;17;21;14;9;0.99;;;;;;;;;;2.01406E+13;17.06.14;1.5;0.9
85;0;0;0;150;233;114;10;14;6;2014;6;18;6;3;26;0.76;;;;;;;;;;2.01406E+13;18.06.14;1.34;0.95
86;0;0;0;188;129;-51;48;30;12;2014;6;19;8;56;30;-0.17;;;;;;;;;;2.01406E+13;19.06.14;0.72;0.86
87;0;0;0;14;165;-28;9;16;6;2014;6;19;10;21;3;1.04;;;;;;;;;;2.01406E+13;19.06.14;1.53;0.84
88;0;0;0;26;123;1;21;30;8;2014;6;19;17;20;21;-0.34;;;;;;;;;;2.01406E+13;19.06.14;0.6;0.77
89;0;0;0;76;69;11;29;47;6;2014;6;19;17;34;47;-0.76;;;;;;;;;;2.01406E+13;19.06.14;0.32;0.75
90;0;0;0;17;69;16;27;56;8;2014;6;19;22;35;10;-1.07;;;;;;;;;;2.01406E+13;19.06.14;0.12;0.73
91;0;0;0;67;43;32;18;18;7;2014;6;20;0;15;43;-0.53;;;;;;;;;;2.01406E+13;20.06.14;0.48;0.93
92;0;0;0;59;14;43;21;21;8;2014;6;20;3;4;3;-0.69;;;;;;;;;;2.01406E+13;20.06.14;0.37;0.83
93;0;0;0;76;24;40;18;18;7;2014;6;20;3;9;19;-0.57;;;;;;;;;;2.01406E+13;20.06.14;0.46;0.9
94;0;0;0;77;23;41;21;21;7;2014;6;20;4;12;8;-0.93;;;;;;;;;;2.01406E+13;20.06.14;0.21;0.65
95;0;0;0;65;188;4;23;26;6;2014;6;20;9;50;5;-0.69;;;;;;;;;;2.01406E+13;20.06.14;0.38;0.67
96;0;0;0;-3;267;-28;17;16;6;2014;6;20;11;7;19;0.28;;;;;;;;;;2.01406E+13;20.06.14;1.02;0.85
97;0;0;0;49;133;8;26;26;6;2014;6;20;14;10;0;-0.36;;;;;;;;;;2.01406E+13;20.06.14;0.59;0.76
98;0;0;0;55;-7;47;13;16;6;2014;6;21;1;6;33;-0.09;;;;;;;;;;2.01406E+13;21.06.14;0.77;0.89
99;0;0;0;45;11;35;13;16;6;2014;6;21;2;20;11;0.09;;;;;;;;;;2.01406E+13;21.06.14;0.89;1
100;0;0;0;-41;171;-61;9;14;6;2014;6;21;3;5;2;0.84;;;;;;;;;;2.01406E+13;21.06.14;1.4;0.92
101;0;0;0;37;167;1;27;42;8;2014;6;21;4;51;28;-0.66;;;;;;;;;;2.01406E+13;21.06.14;0.39;0.85
102;0;0;0;55;-41;49;24;21;8;2014;6;21;7;42;6;-0.83;;;;;;;;;;2.01406E+13;21.06.14;0.28;0.79
103;0;0;0;50;-29;47;15;18;6;2014;6;21;7;44;7;-0.04;;;;;;;;;;2.01406E+13;21.06.14;0.81;0.92
104;0;0;0;27;340;36;32;30;9;2014;6;21;23;13;29;-0.54;;;;;;;;;;2.01406E+13;21.06.14;0.48;0.74
105;0;0;0;-57;216;-90;27;30;10;2014;6;22;6;15;36;-0.75;;;;;;;;;;2.01406E+13;22.06.14;0.33;0.75
